retailer,parent_company,website
Walmart,Walmart Inc.,https://www.walmart.com
Kroger,Kroger Co.,https://www.kroger.com
Albertsons,Albertsons Companies,https://www.albertsons.com
Target,Target Corporation,https://www.target.com
Publix,Publix Super Markets,https://www.publix.com
H-E-B,H-E-B,https://www.heb.com
Aldi,Aldi,https://www.aldi.us
Costco,Costco Wholesale,https://www.costco.com
Sprouts,Sprouts Farmers Market,https://www.sprouts.com
Trader Joe's,Trader Joe's,https://www.traderjoes.com
