retailer,source_name,source_type,url,http_method,authentication,parameters,response_format,product_data,pricing_data,store_data,promotion_data,inventory_data,upc_gtin,store_level_data,geographic_parameters,request_frequency,requires_session,requires_account,requires_javascript,bot_protection,observed_response,first_discovered,last_verified,status,notes,source_id
Walmart,Store Directory,store_locator,https://www.walmart.com/store/directory,GET,unknown,,,,,,,,,,,,,,,,unknown,2026-08-16,2026-08-16,candidate,Canonical Walmart store directory,7496c8ea509c7848
Walmart,Product Search,product_search,https://www.walmart.com/search?q=milk,GET,unknown,q,html,,,,,,,,,,,,,unknown,unknown,unknown,2026-08-16,2026-08-16,candidate,97b5db10f28dd6cd
Target,Store Locator,store_locator,https://www.target.com/store-locator/find-stores,GET,unknown,,,,,,,,,,,,,,,,unknown,2026-08-16,2026-08-16,candidate,Canonical Target store locator,260ee8dad067cd93
Target,Grocery Catalog,product_catalog,https://www.target.com/c/grocery/-/N-5xt1a,GET,unknown,,,,,,,,,,,,,,,,unknown,2026-08-16,2026-08-16,candidate,Canonical grocery category,1bddd411f402574b
Target,Shop All Categories,product_catalog,https://www.target.com/c/shop-all-categories/-/N-5xsxf,GET,unknown,,,,,,,,,,,,,,,,unknown,2026-08-16,2026-08-16,candidate,General category discovery source,4a0ac9bfb176b126
Albertsons,Store Locator,store_locator,https://www.albertsons.com/erums/store/prebook,GET,unknown,,,,,,,,,,,,,,,,unknown,2026-08-16,2026-08-16,candidate,Potential store locator,352055d270c5238a
Albertsons,Product Search,product_search,https://local.albertsons.com/search.html,GET,unknown,,,,,,,,,,,,,,,,unknown,2026-08-16,2026-08-16,candidate,Albertsons local search endpoint,d7db761944ca724e
Albertsons,Grocery Catalog,product_catalog,https://www.albertsons.com/shop/aisles/dairy-eggs-cheese.html?loc=177,GET,unknown,loc,html,,,,,,,,,,,,,unknown,unknown,unknown,2026-08-16,2026-08-16,candidate,b2135c6edd92feeb
Albertsons,Beverages Catalog,product_catalog,https://www.albertsons.com/shop/aisles/beverages.html?loc=177,GET,unknown,loc,html,,,,,,,,,,,,,unknown,unknown,unknown,2026-08-16,2026-08-16,candidate,1b5ee9da6e951bb8
Albertsons,Bread Bakery Catalog,product_catalog,https://www.albertsons.com/shop/aisles/bread-bakery.html?loc=177,GET,unknown,loc,html,,,,,,,,,,,,,unknown,unknown,unknown,2026-08-16,2026-08-16,candidate,0acd57689c3f92f5
Publix,Store Locator,store_locator,https://www.publix.com/locations,GET,unknown,,,,,,,,,,,,,,,,unknown,2026-08-16,2026-08-16,candidate,Canonical Publix store locator,d06da284a77ce8b4
Publix,Product Catalog,product_catalog,https://www.publix.com/products-services,GET,unknown,,,,,,,,,,,,,,,,unknown,2026-08-16,2026-08-16,candidate,Canonical Publix products source,71d3db6b931e1b80
Publix,Online Shopping,product_catalog,https://www.publix.com/shop-online/in-store-pickup/meat-and-cheese/aa5a1fa4-67c6-46a6-8369-b2b8c6d0f4b5,GET,unknown,,,,,,,,,,,,,,,,unknown,2026-08-16,2026-08-16,candidate,Representative online shopping source,e157da9a1cbb773a
Aldi,Store Locator,store_locator,https://info.aldi.us/stores,GET,unknown,,,,,,,,,,,,,,,,unknown,2026-08-16,2026-08-16,candidate,Canonical Aldi store information,4554db385a896eff
Aldi,Product Catalog,product_catalog,https://www.aldi.us/store/aldi/pages/explore-all-products,GET,unknown,,,,,,,,,,,,,,,,unknown,2026-08-16,2026-08-16,candidate,Aldi product discovery page,fff7597fe8d3cf6d
Aldi,Grocery Catalog,product_catalog,https://www.aldi.us/store/aldi/pages/pantry-essentials,GET,unknown,,,,,,,,,,,,,,,,unknown,2026-08-16,2026-08-16,candidate,Representative grocery category,434a26a3c0a14bb2
Aldi,Dairy and Eggs Catalog,product_catalog,https://www.aldi.us/store/aldi/pages/dairy-and-eggs,GET,unknown,,,,,,,,,,,,,,,,unknown,2026-08-16,2026-08-16,candidate,Representative grocery category,87e2049ea0d379d3
Aldi,Fresh Produce Catalog,product_catalog,https://www.aldi.us/store/aldi/pages/fresh-produce,GET,unknown,,,,,,,,,,,,,,,,unknown,2026-08-16,2026-08-16,candidate,Representative grocery category,d48205d41b567533
Aldi,Product Example,product,https://www.aldi.us/store/aldi/products/24519630-park-street-deli-turkey-wrap-8-oz,GET,unknown,,,,,,,,,,,,,,,,unknown,2026-08-16,2026-08-16,candidate,Representative product detail URL,f07d4bfb2d668f4e
Sprouts,Store Locator,store_locator,https://www.sprouts.com/stores/,GET,unknown,,,,,,,,,,,,,,,,unknown,2026-08-16,2026-08-16,candidate,Canonical Sprouts store locator,696bbedf435a9a05
Sprouts,Online Grocery Catalog,product_catalog,https://shop.sprouts.com/store/sprouts/collections/n-grocery-aisles,GET,unknown,,,,,,,,,,,,,,,,unknown,2026-08-16,2026-08-16,candidate,Canonical online grocery collection,fa65a2632756b49c
Sprouts,Dairy Catalog,product_catalog,https://shop.sprouts.com/store/sprouts/collections/n-dairy,GET,unknown,,,,,,,,,,,,,,,,unknown,2026-08-16,2026-08-16,candidate,Representative grocery category,4fd6d3329d1e0f0b
Sprouts,Produce Catalog,product_catalog,https://shop.sprouts.com/store/sprouts/collections/n-produce,GET,unknown,,,,,,,,,,,,,,,,unknown,2026-08-16,2026-08-16,candidate,Representative grocery category,dc4e0a651d464075
Sprouts,Meat Seafood Catalog,product_catalog,https://shop.sprouts.com/store/sprouts/collections/n-meat-seafood,GET,unknown,,,,,,,,,,,,,,,,unknown,2026-08-16,2026-08-16,candidate,Representative grocery category,dc20c4a4760b8cff
